April 09, 2020-0
April 10, 2020-0
April 11, 2020-1
April 12, 2020-0
April 13, 2020-11
April 14, 2020-0
April 15, 2020-2
April 16, 2020-2
April 17, 2020-1
April 18, 2020-0
April 19, 2020-0
April 20, 2020-0
April 21, 2020-0
April 22, 2020-0
April 23, 2020-0
April 24, 2020-1
April 25, 2020-0
April 26, 2020-0
April 27, 2020-0
April 28, 2020-1
April 29, 2020-0
April 30, 2020-1
May 01, 2020-0
May 02, 2020-0
May 03, 2020-0
May 04, 2020-0
May 05, 2020-2
May 06, 2020-1
May 07, 2020-2
May 08, 2020-0
May 09, 2020-0
May 10, 2020-0
May 11, 2020-0
May 12, 2020-2
May 13, 2020-0
May 14, 2020-0
May 15, 2020-0
May 16, 2020-0
May 17, 2020-0
May 18, 2020-0
May 19, 2020-0
May 20, 2020-1
May 21, 2020-0
May 22, 2020-0
May 23, 2020-0
May 24, 2020-0
May 25, 2020-0
May 26, 2020-0
May 27, 2020-0
May 28, 2020-0
May 29, 2020-0
May 30, 2020-0
May 31, 2020-0
June 01, 2020-0
June 02, 2020-0
June 03, 2020-0
June 04, 2020-0
June 05, 2020-0
June 06, 2020-0
June 07, 2020-0
June 08, 2020-0
June 09, 2020-0
June 10, 2020-0
June 11, 2020-0
June 12, 2020-0
June 13, 2020-0
June 14, 2020-0
June 15, 2020-0
June 16, 2020-0
June 17, 2020-0
June 18, 2020-0
June 19, 2020-0
June 20, 2020-0
June 21, 2020-0
June 22, 2020-0
June 23, 2020-0
June 24, 2020-0
June 25, 2020-0
June 26, 2020-0
June 27, 2020-0
June 28, 2020-0
June 29, 2020-0
June 30, 2020-0
July 01, 2020-0
July 02, 2020-0
July 03, 2020-0
July 04, 2020-0
July 05, 2020-0
July 06, 2020-1
July 07, 2020-0
July 08, 2020-0
July 09, 2020-0
July 10, 2020-0
July 11, 2020-0
July 12, 2020-0
July 13, 2020-0
July 14, 2020-0
July 15, 2020-0
July 16, 2020-0
July 17, 2020-0
July 18, 2020-0
July 19, 2020-0
July 20, 2020-0
July 21, 2020-0
July 22, 2020-0
July 23, 2020-2
July 24, 2020-0
July 25, 2020-0
July 26, 2020-0
July 27, 2020-0
July 28, 2020-0
July 29, 2020-0
July 30, 2020-0
July 31, 2020-0
August 01, 2020-0
August 02, 2020-0
August 03, 2020-0
August 04, 2020-0
August 05, 2020-0
August 06, 2020-0
August 07, 2020-0
August 08, 2020-0
August 09, 2020-0
August 10, 2020-0
August 11, 2020-0
August 12, 2020-0
August 13, 2020-0
August 14, 2020-0
August 15, 2020-0
August 16, 2020-0
August 17, 2020-0
August 18, 2020-0
August 19, 2020-0
August 20, 2020-0
August 21, 2020-0
August 22, 2020-0
August 23, 2020-0
August 24, 2020-0
August 25, 2020-0
August 26, 2020-0
August 27, 2020-0
August 28, 2020-0
August 29, 2020-0
August 30, 2020-0
August 31, 2020-0
September 01, 2020-0
September 02, 2020-0
September 03, 2020-0
September 04, 2020-0
September 05, 2020-0
September 06, 2020-0
September 07, 2020-0
September 08, 2020-0
September 09, 2020-0
September 10, 2020-0
September 11, 2020-0
September 12, 2020-0
September 13, 2020-0
September 14, 2020-0
September 15, 2020-0
September 16, 2020-0
September 17, 2020-0
September 18, 2020-0
September 19, 2020-0
September 20, 2020-0
September 21, 2020-0
September 22, 2020-0
September 23, 2020-0
September 24, 2020-0
September 25, 2020-0
September 26, 2020-0
September 27, 2020-0
September 28, 2020-0
September 29, 2020-0
September 30, 2020-0
October 01, 2020-0
October 02, 2020-0
October 03, 2020-0
October 04, 2020-0
October 05, 2020-0
October 06, 2020-0
October 07, 2020-0
October 08, 2020-0
October 09, 2020-0
October 10, 2020-0
October 11, 2020-0
October 12, 2020-0
October 13, 2020-0
October 14, 2020-0
October 15, 2020-0
October 16, 2020-0
October 17, 2020-0
October 18, 2020-0
October 19, 2020-0
October 20, 2020-0
October 21, 2020-0
October 22, 2020-0
October 23, 2020-0
October 24, 2020-0
October 25, 2020-0
October 26, 2020-0
October 27, 2020-0
October 28, 2020-0
October 29, 2020-0
October 30, 2020-0
October 31, 2020-0
November 01, 2020-0
November 02, 2020-0
November 03, 2020-0
November 04, 2020-0
November 05, 2020-0
November 06, 2020-0
November 07, 2020-0
November 08, 2020-0
November 09, 2020-0
November 10, 2020-0
November 11, 2020-0
November 12, 2020-0
November 13, 2020-0
November 14, 2020-0
November 15, 2020-0
November 16, 2020-1
November 17, 2020-0
November 18, 2020-0
November 19, 2020-1
November 20, 2020-0
November 21, 2020-0
November 22, 2020-0
November 23, 2020-0
November 24, 2020-1
November 25, 2020-0
November 26, 2020-0
November 27, 2020-0
November 28, 2020-0
November 29, 2020-0
November 30, 2020-0
December 01, 2020-0
December 02, 2020-0
December 03, 2020-0
December 04, 2020-0
December 05, 2020-0
December 06, 2020-0
December 07, 2020-1
December 08, 2020-0
December 09, 2020-0
December 10, 2020-0
December 11, 2020-0
December 12, 2020-0
December 13, 2020-0
December 14, 2020-3
December 15, 2020-0
December 16, 2020-0
December 17, 2020-0
December 18, 2020-2
December 19, 2020-0
December 20, 2020-0
December 21, 2020-0
December 22, 2020-3
December 23, 2020-0
